Employee_ID;Salary;Department
1532;6816;6
708;7200;2
695;5765;6
981;3029;1
862;9189;4
989;3938;2
974;2960;1
148;1302;4
1516;3479;5
272;3939;3
1122;6236;10
1689;1606;1
267;1705;0
712;2297;0
1338;5339;10
446;2786;7
640;7414;5
40;3275;1
18;8407;10
1089;6277;5
1310;4104;8
652;8883;2
904;2197;0
79;9243;0
1691;9044;3
395;7946;9
402;8841;0
22;3633;8
505;1151;10
1546;7839;10
1075;8142;8
122;1654;5
851;8147;4
102;8807;1
1247;6538;8
1386;6304;9
1855;5689;7
908;4408;10
256;6943;1
1066;7309;10
1479;5436;5
1410;1917;2
627;3546;9
1594;1375;0
1485;9607;10
1529;4863;7
420;2550;7
1671;1403;6
936;8196;2
1143;8662;7
1726;3615;8
1872;9618;5
203;3806;9
1372;9107;4
883;3346;7
590;7850;8
1154;9024;3
501;2273;8
1729;2884;0
1811;6665;5
1262;7709;5
801;5418;4
675;3361;9
1701;1611;6
791;9229;1
683;9983;0
406;3643;10
1694;4920;10
1820;8274;4
1711;4031;9
32;3364;4
745;7886;6
1293;2483;7
571;5905;0
1228;3969;2
866;2884;7
288;3941;7
1046;1528;1
580;5915;7
1483;9631;9
1490;9299;8
662;3319;5
816;9161;3
83;2458;7
1022;2827;2
1680;9556;0
899;8030;2
688;9378;1
175;6067;3
860;3808;7
1836;8336;1
1917;4154;9
1227;5801;1
377;2793;10
360;9031;6
1509;7736;0
510;4975;2
1427;6228;9
585;9565;4
1995;8661;9
1185;4096;9
1288;3757;1
817;6261;4
1929;9405;5
1764;2905;7
85;7497;1
1440;9983;9
1959;9381;0
1808;5465;2
397;4177;2
1238;3091;1
1645;5632;7
1202;8939;4
962;6032;5
1050;8636;8
1634;7702;8
1790;5545;7
1683;2590;10
671;5467;9
1226;6730;1
1921;2235;8
91;5394;7
487;4473;10
1435;9866;4
1263;9318;8
1152;4835;6
686;3547;0
523;1225;4
761;5213;6
1983;4435;1
570;4136;7
1206;7542;6
1072;4331;7
1358;5157;2
1846;3008;1
812;6857;9
1705;5257;9
1057;4111;3
711;7172;7
1376;8961;3
596;8377;7
1924;2817;9
1760;4744;7
490;3603;1
633;2426;8
902;6999;9
1709;7452;7
1170;9682;10
295;3063;2
