Employee_ID;Salary;Department
1042;9755;2
938;6178;6
2968;5073;2
120;2974;3
1840;9709;6
2979;4863;6
91;9169;8
1485;7026;2
286;4398;4
2620;9075;8
2896;4978;10
558;2627;7
2910;4849;2
2659;9424;3
2787;2408;5
1255;3479;7
1646;1395;3
2467;1247;10
1592;1846;6
1688;8687;10
1525;7732;9
1229;2536;10
953;4091;6
1951;1868;0
69;8438;0
467;7826;0
453;9261;10
2923;7110;6
2845;8920;8
2491;2714;7
384;4091;5
2465;6275;1
1014;8644;9
886;4082;10
1281;8205;4
2410;3002;0
36;1310;10
233;4654;2
1341;8588;4
730;4306;5
2818;2009;3
74;2450;5
1056;5189;8
712;1565;7
2871;8352;3
290;2129;2
1674;4069;7
2721;4918;3
1123;1308;9
1249;3911;3
1297;8418;10
1273;9772;3
2064;6252;10
1814;7401;6
1994;8247;3
2026;5398;3
2380;7107;5
1194;7287;8
643;1217;10
1871;3307;2
846;3429;3
1051;5916;10
1221;7431;1
1017;2105;0
2819;3369;4
388;9787;7
2360;2539;10
1226;8603;6
2520;2585;7
981;6269;0
1083;3384;9
1855;3812;2
740;8075;1
2395;6825;6
2074;6763;4
2197;4083;6
458;7732;10
2866;7989;9
2308;7209;10
562;6665;5
309;1988;2
1500;4490;7
199;8188;8
148;4838;2
2285;8484;6
2209;3965;8
2191;2908;10
2628;9454;0
1262;8264;4
45;3539;3
282;9654;5
1878;1558;1
754;1124;8
2117;7104;8
2011;5018;6
1238;1569;2
1119;4168;4
87;4702;1
2237;9750;7
1798;4223;0
1671;7952;6
451;2528;10
172;2440;2
1212;2375;9
1278;6414;8
2013;3215;7
1491;5171;1
1596;8407;10
1644;5241;6
1136;3887;1
1364;7219;4
369;8688;5
2159;6508;7
145;8100;2
1282;2890;0
2007;9716;6
2685;5101;5
2596;5568;2
94;9506;3
2084;7585;9
364;8376;6
338;1591;7
121;8022;7
694;7610;6
2611;2578;1
2518;4025;9
208;1077;5
1301;4872;4
1005;5185;3
1720;4639;2
2504;9079;1
2252;4901;0
914;5633;3
2178;8916;7
776;5392;2
1682;7181;5
2417;1615;2
1263;7096;4
51;8118;5
50;6179;10
1040;3775;5
2902;4563;9
1264;1450;7
2513;7711;7
499;8044;1
939;4950;7
1030;6932;6
952;2982;9
2877;7682;8
1718;4985;5
113;2020;5
1879;9601;1
1602;4116;10
904;8073;8
2536;1850;3
738;4239;5
1811;7525;6
1471;2902;1
2479;4425;8
1421;8095;6
866;6714;5
2882;5228;10
523;4946;6
1404;7134;4
783;3089;10
64;8434;9
1704;8268;6
1916;8820;4
2271;3542;3
241;6738;4
1548;3706;10
594;8247;1
2590;8576;3
1737;8030;1
1936;8224;5
1287;5463;5
1090;5132;5
2754;4079;1
528;9061;4
2704;3035;7
2509;8245;4
576;2416;3
1161;2506;3
821;4634;1
797;3985;5
2057;7631;1
109;3267;9
2701;5885;2
2135;2542;3
32;9720;4
1752;1501;10
748;9797;10
305;8051;2
1007;9009;3
1109;7887;5
472;4534;8
2041;2473;3
2287;1359;9
2801;4222;0
184;2073;8
209;1421;8
2388;3608;5
1911;3346;2
1764;7119;4
2086;2853;6
1385;2446;8
547;9467;10
1148;4163;10
1001;2488;1
742;5717;0
2348;9323;3
2128;9882;9
2963;8115;7
1974;9361;0
1561;6696;4
2006;5291;7
2367;9606;3
2906;2139;6
1961;2220;10
218;4077;2
1450;1143;4
1629;6694;9
29;2417;1
479;7528;9
1448;3829;0
2981;4698;8
1827;1195;8
957;9839;3
2298;2322;2
1953;3889;5
1201;3161;5
2201;6204;6
1269;3171;6
2243;9081;3
583;2097;6
2274;8673;2
303;4768;9
2045;2303;4
246;4616;1
2264;8853;7
1579;3115;10
169;8434;4
899;8170;9
2411;9773;4
786;2807;6
285;7789;0
571;9529;4
2328;3760;10
2319;3342;10
2770;4259;0
1043;5318;7
1693;7179;8
966;7445;8
260;7074;10
784;2787;7
2585;7279;7
1425;4415;2
780;3784;3
908;6717;5
2624;4704;5
804;6646;9
2586;2058;3
1969;4795;1
1968;7708;1
764;7463;3
1859;3820;9
1864;7830;2
2363;5475;4
2556;3259;8
1536;9100;5
1992;2097;7
708;2840;3
2516;1971;5
2687;4937;4
2610;8406;1
2879;8050;6
1570;4536;10
1309;4292;4
1714;1875;0
2744;6760;9
2492;8334;5
2188;8301;6
97;6780;1
46;8266;0
1860;2521;4
1519;9819;1
443;6011;7
868;6462;1
221;3851;10
2428;9320;2
2450;3375;7
393;9463;4
2805;9032;7
2881;1315;2
1897;4660;4
1866;6744;0
1236;7836;10
1729;9322;7
2383;4124;4
1972;6187;7
1208;9605;3
1796;3237;10
1540;5058;0
1533;4835;2
466;3962;5
268;4965;6
2938;9443;6
1652;9303;8
1572;4799;9
818;3942;0
671;7067;8
2193;1748;10
2715;2010;5
2002;4163;5
627;6163;0
1633;9039;6
1319;1261;5
1761;8623;4
1929;5656;4
9;7514;10
1057;8226;9
1906;1531;3
1110;3345;0
2384;1825;1
2936;1195;9
525;5743;7
1681;3588;7
2435;1158;0
2820;7906;2
