Employee_ID;Salary;Department
3610;9813;1
3599;4631;6
4592;9363;9
4974;4495;4
7603;8463;4
3565;2441;4
4600;3838;6
9680;6287;7
2654;7665;9
8104;4776;4
6936;7634;3
3889;3311;6
6436;9795;4
7238;2025;5
149;8807;7
2051;7394;5
6213;6749;10
6918;1139;10
8306;8416;10
7619;9424;2
511;2576;0
7192;5921;2
8048;4812;7
6240;2689;2
9812;3187;1
8883;7821;3
9706;1269;4
4508;2066;5
9412;9388;5
8168;9700;7
7931;3336;1
4682;5127;7
9593;9701;10
191;5063;3
8118;3394;6
845;5077;9
2067;6394;5
7335;7378;6
2063;5479;10
6269;6823;9
4563;7543;0
2180;2947;5
9579;1145;5
7280;7835;10
7486;6977;10
2153;8560;6
5528;5716;1
1409;3505;1
8097;7130;10
7184;8627;0
213;5569;6
4871;8883;4
7947;3818;3
2170;3305;7
1920;5851;3
5189;6587;3
4424;9223;2
1678;4890;10
6500;9851;3
7097;6145;8
9163;7417;3
1424;7298;10
4534;1889;5
4803;8039;1
5105;4840;1
9622;7868;9
9668;4967;2
1128;1880;2
567;3542;3
2985;3722;5
3702;7040;3
6167;6203;6
6063;6182;3
2281;4805;0
385;2612;5
6220;7347;5
1612;2164;0
2652;9402;6
9426;9739;4
6969;9302;6
1085;6777;2
4239;5066;4
9142;2441;3
3397;1888;1
8073;4761;10
1857;3258;2
7838;4795;3
4838;7651;10
3580;5429;1
1032;5208;5
7526;2018;5
2488;1698;0
8224;7179;9
9636;4119;5
9548;1650;9
4820;9646;10
7299;9676;0
4627;6707;6
9133;6269;7
6933;5655;6
5408;3408;3
8860;6902;7
3123;4843;8
8495;7420;3
3284;3122;3
5829;4920;4
9793;2940;2
8158;3864;3
29;8099;4
9590;3758;0
9963;2160;2
6182;8413;5
3526;7900;0
7250;9029;3
720;2003;4
2622;5883;6
4167;9069;0
4209;4069;2
6495;9621;6
7182;7419;3
6808;4693;3
9417;7619;4
2120;6066;1
6030;7830;7
7850;8961;5
5200;8721;1
7421;4257;5
3895;8466;4
4972;7662;6
4294;3479;6
2122;4016;0
5031;5163;2
3368;5399;3
7385;1408;5
912;6129;5
7580;1303;8
9790;5023;10
3689;5871;2
6126;3646;1
5879;8854;9
4;9310;5
967;9505;5
3404;4787;1
2895;6069;4
8431;1089;10
3133;5970;9
899;7814;3
6438;9574;10
9831;7903;10
2513;1256;3
9995;5317;10
3122;9749;8
2419;1716;10
7412;3420;3
2775;6896;1
773;8865;1
6205;4947;2
2365;9160;10
8008;9298;8
3059;7404;2
5679;3618;0
3081;1325;4
1413;7273;1
1766;6998;4
7862;8596;1
1110;4787;1
1665;8753;8
2871;1265;4
2792;1275;0
7409;2088;8
1012;1355;4
6395;9832;7
3083;9677;5
5669;3249;8
9687;3262;7
4139;7382;2
8061;9469;4
6724;4389;7
3640;1619;6
435;8338;1
8040;1930;9
8243;2759;1
950;1216;10
5595;4381;5
315;1484;10
7514;2573;5
8381;4723;3
786;5681;5
3076;9378;7
8519;9927;9
8812;3001;5
272;6869;3
7302;6649;4
6943;2676;4
8408;1503;3
1188;6454;3
3525;5426;9
9108;4860;1
9698;8434;9
2113;1694;7
752;3483;7
5110;7599;9
3841;8873;0
2290;3927;10
5492;9791;10
1043;2563;4
8574;5919;6
4291;7519;0
7787;8690;7
4652;6319;2
174;5892;9
8843;4027;4
693;5257;10
6108;5231;3
8439;1601;8
2995;4174;5
1625;4986;9
4618;8193;5
6679;3968;2
3127;4152;8
6590;2047;4
9336;9436;2
7559;9725;4
8704;3176;1
65;7047;3
3275;4353;10
9099;4177;6
2184;1850;5
6861;8759;10
1737;2155;0
6651;5022;7
7249;4041;4
4712;7781;9
2326;9890;9
6273;1180;10
7246;7583;8
5308;9594;10
5850;7203;5
2218;3879;9
3452;2734;10
143;4283;10
817;1487;9
3671;7170;7
2116;6243;10
3044;4802;7
9442;6051;3
6117;4517;7
2707;4055;1
7219;4447;1
5801;7237;0
5827;8682;10
9022;1946;10
9743;3642;1
3071;3503;9
5396;5401;8
2669;6301;6
1460;3827;7
7317;4449;2
5613;5915;0
4692;1006;2
4069;3357;7
9994;8306;0
6497;3380;1
8410;6264;6
251;6108;10
8119;5521;9
2482;3543;4
7055;7072;4
966;3847;3
6313;5293;4
